,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
2701,12618936,Entire home/apt,68267913,2016-04-21,,0.07,8.0,10.0,10.0,10.0,10.0,100.0,60.0,,33300,1
7790,24489610,Entire home/apt,68380222,2016-04-22,100%,0.7,9.0,10.0,10.0,10.0,8.0,70.0,60.0,$25.00,33000,3
4282,15862629,Entire home/apt,44419330,2015-09-17,83%,1.0,,,,,,,60.0,$10.00,33200,1
6113,20128484,Entire home/apt,21225889,2014-09-11,100%,1.02,10.0,10.0,10.0,10.0,10.0,99.0,60.0,$25.00,33310,16
6764,21731744,Private room,10950493,2014-01-01,90%,0.78,9.0,9.0,10.0,10.0,8.0,89.0,60.0,,33800,9
2670,12550374,Entire home/apt,68023162,2016-04-20,,0.76,9.0,10.0,10.0,10.0,9.0,89.0,60.0,$25.00,33000,22
752,5246324,Entire home/apt,27151865,2015-02-03,100%,0.38,9.0,8.0,10.0,10.0,9.0,92.0,60.0,$50.00,33000,17
3881,14106932,Entire home/apt,75169212,2016-06-01,,0.31,10.0,10.0,10.0,10.0,10.0,100.0,60.0,$30.00,33000,1
3561,13562340,Entire home/apt,78152529,2016-06-16,100%,2.1,10.0,10.0,10.0,10.0,9.0,91.0,60.0,$15.00,33600,7
6047,19990231,Entire home/apt,137778565,2017-06-30,,0.5,9.0,9.0,10.0,9.0,10.0,100.0,60.0,$0.00,33300,8
8870,26907817,Entire home/apt,54774760,2016-01-15,100%,1.75,9.0,9.0,9.0,10.0,8.0,92.0,60.0,$30.00,33800,6
5076,18373286,Entire home/apt,127230427,2017-04-23,,0.27,10.0,10.0,10.0,10.0,10.0,100.0,60.0,$20.00,33800,5
606,4282492,Entire home/apt,19713311,2014-08-09,100%,0.51,8.0,8.0,9.0,9.0,9.0,78.0,60.0,$30.00,33170,25
601,4229211,Entire home/apt,29102137,2015-03-10,94%,0.29,8.0,9.0,9.0,8.0,8.0,83.0,60.0,$85.00,33000,13
3504,13490306,Entire home/apt,43993861,2015-09-12,100%,0.96,8.0,9.0,9.0,9.0,10.0,87.0,61.0,$0.00,33000,27
197,1413371,Entire home/apt,7618574,2013-07-21,,2.68,10.0,9.0,10.0,10.0,10.0,96.0,61.0,$35.00,33160,5
1961,10100074,Entire home/apt,43357994,2015-09-04,,0.03,8.0,6.0,10.0,10.0,8.0,100.0,61.0,$10.00,33000,1
6577,21263475,Entire home/apt,46186360,2015-10-09,100%,4.11,9.0,10.0,10.0,10.0,10.0,96.0,61.0,,33000,55
5218,18634981,Entire home/apt,128500995,2017-05-02,,0.91,10.0,10.0,10.0,10.0,10.0,96.0,61.0,,33000,13
5653,19311556,Entire home/apt,19567138,2014-08-06,,5.23,10.0,10.0,10.0,10.0,10.0,97.0,61.0,$0.00,33800,88
1042,6295265,Entire home/apt,22516442,2014-10-14,,0.57,8.0,9.0,10.0,10.0,8.0,89.0,61.0,$30.00,33700,20
8875,26922555,Entire home/apt,84790239,2016-07-19,,0.63,9.0,9.0,10.0,10.0,9.0,90.0,62.0,$70.00,33300,2
8333,25719481,Entire home/apt,3028414,2012-07-23,100%,1.35,9.0,9.0,10.0,10.0,10.0,97.0,62.0,$0.00,33000,7
8459,25991879,Entire home/apt,18033730,2014-07-13,,0.25,10.0,10.0,10.0,10.0,10.0,100.0,62.0,$0.00,33140,1
7707,24324529,Entire home/apt,28157116,2015-02-22,,1.76,10.0,10.0,10.0,10.0,10.0,100.0,62.0,$0.00,33200,12
