,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
136,271599,Private room,1421327,2011-11-18,,2.05,9.0,9.0,10.0,10.0,9.0,93.0,900.0,,1075 XM,173
137,271787,Private room,1422303,2011-11-19,80%,0.11,9.0,9.0,9.0,10.0,9.0,93.0,110.0,,1016,9
142,278823,Private room,615517,2011-05-23,100%,1.67,9.0,9.0,10.0,10.0,10.0,95.0,74.0,$75.00,1053,141
146,284319,Private room,1480817,2011-12-07,100%,0.19,10.0,10.0,10.0,10.0,10.0,97.0,115.0,,1017,16
147,286500,Private room,1491565,2011-12-10,100%,2.94,10.0,10.0,10.0,10.0,10.0,98.0,150.0,$0.00,1012,245
148,289071,Private room,1501819,2011-12-13,100%,2.11,9.0,10.0,10.0,10.0,10.0,95.0,90.0,$35.00,1015,177
149,290701,Private room,1491565,2011-12-10,100%,3.42,10.0,10.0,10.0,10.0,10.0,97.0,150.0,,1012,283
150,291637,Private room,1247363,2011-10-04,,0.1,9.0,9.0,10.0,10.0,10.0,93.0,95.0,$25.00,1098,8
151,291752,Private room,1511330,2011-12-16,100%,2.22,9.0,9.0,10.0,10.0,10.0,97.0,89.0,$0.00,1091,187
152,293337,Private room,1493495,2011-12-11,71%,0.28,9.0,9.0,10.0,10.0,9.0,95.0,105.0,$40.00,1021,23
154,294226,Private room,1421327,2011-11-18,,2.07,10.0,9.0,10.0,10.0,10.0,95.0,900.0,,1075 XM,166
158,300067,Private room,1545992,2011-12-29,,0.11,9.0,9.0,10.0,9.0,8.0,97.0,45.0,$20.00,1091,9
167,308028,Private room,1141485,2011-09-11,100%,0.44,9.0,10.0,10.0,10.0,9.0,94.0,90.0,,1017,25
168,309436,Private room,1570754,2012-01-05,100%,0.88,9.0,9.0,10.0,10.0,10.0,89.0,135.0,,1034 ZD,61
172,311694,Private room,1480817,2011-12-07,100%,0.2,9.0,10.0,10.0,10.0,10.0,100.0,115.0,,1017,9
184,342540,Private room,1738291,2012-02-12,100%,2.78,9.0,9.0,9.0,10.0,10.0,91.0,72.0,,1098,226
185,343094,Private room,1740785,2012-02-12,100%,3.71,10.0,10.0,10.0,10.0,10.0,98.0,96.0,$0.00,1091,298
188,349208,Private room,1029506,2011-08-28,100%,1.05,9.0,9.0,9.0,10.0,10.0,93.0,75.0,$25.00,1091,81
190,356220,Private room,1801815,2012-02-24,100%,1.96,9.0,10.0,10.0,10.0,10.0,97.0,120.0,$35.00,1017,160
198,366438,Private room,1849988,2012-03-03,50%,4.86,9.0,10.0,10.0,10.0,10.0,95.0,170.0,,1011,394
204,379143,Private room,1887873,2012-03-09,100%,4.06,10.0,10.0,10.0,10.0,10.0,98.0,85.0,$25.00,1074 EP,82
211,396125,Private room,1979865,2012-03-21,,6.24,10.0,10.0,10.0,10.0,10.0,97.0,70.0,$20.00,1015,503
231,434097,Private room,2157711,2012-04-17,90%,2.52,9.0,10.0,10.0,10.0,9.0,92.0,82.0,$30.00,1018,175
233,438089,Private room,2064560,2012-04-03,100%,1.76,10.0,10.0,10.0,10.0,9.0,97.0,99.0,,1054,133
238,443698,Private room,2204326,2012-04-23,100%,0.59,10.0,10.0,10.0,10.0,10.0,99.0,135.0,,1017,46
240,446592,Private room,1543378,2011-12-28,100%,2.31,9.0,9.0,9.0,10.0,9.0,90.0,100.0,$20.00,1074,184
241,446999,Private room,2064560,2012-04-03,100%,3.27,9.0,10.0,10.0,10.0,9.0,95.0,89.0,,1054,245
250,462809,Private room,2299713,2012-05-05,100%,2.71,9.0,9.0,10.0,10.0,10.0,94.0,72.0,$30.00,1019 ED,211
257,481664,Private room,1382273,2011-11-07,90%,6.04,9.0,9.0,10.0,10.0,9.0,94.0,105.0,$50.00,1013,362
258,483779,Private room,2395278,2012-05-17,,1.47,10.0,9.0,10.0,10.0,10.0,98.0,72.0,$20.00,1066,38
271,505650,Private room,2492723,2012-05-29,100%,1.35,10.0,10.0,10.0,10.0,10.0,99.0,130.0,$35.00,1071,101
277,515088,Private room,2536879,2012-06-03,,0.22,,,,,,,130.0,$0.00,1028,1
282,528022,Private room,2594559,2012-06-10,100%,5.0,10.0,10.0,10.0,10.0,10.0,97.0,110.0,$25.00,1013,132
283,528594,Private room,2597146,2012-06-10,100%,0.93,10.0,9.0,10.0,10.0,10.0,96.0,80.0,$30.00,1065 AP,72
284,528704,Private room,2597578,2012-06-10,,0.62,9.0,10.0,10.0,10.0,9.0,96.0,60.0,$50.00,1072,48
286,530136,Private room,2604093,2012-06-11,100%,3.9,9.0,10.0,10.0,10.0,10.0,92.0,55.0,$10.00,1074,306
291,538844,Private room,2646706,2012-06-15,,4.06,8.0,10.0,10.0,10.0,8.0,85.0,70.0,,1054,275
293,539579,Private room,1305208,2011-10-18,93%,2.01,9.0,9.0,10.0,10.0,10.0,94.0,60.0,$18.00,1057,151
310,561297,Private room,72249,2010-01-21,100%,0.2,9.0,10.0,10.0,9.0,10.0,96.0,129.0,$40.00,1016 XA,11
315,568446,Private room,2797260,2012-07-01,100%,1.04,9.0,10.0,10.0,10.0,9.0,96.0,110.0,$40.00,1011 GH,79
316,568613,Private room,2798173,2012-07-01,100%,0.49,9.0,9.0,10.0,10.0,9.0,96.0,90.0,$35.00,1053,31
318,570753,Private room,2439449,2012-05-22,100%,4.13,10.0,10.0,10.0,10.0,10.0,97.0,65.0,$20.00,1075,320
324,579851,Private room,2851886,2012-07-06,100%,4.8,10.0,10.0,10.0,10.0,10.0,99.0,129.0,,1013,360
332,582280,Private room,2867494,2012-07-08,50%,3.4,9.0,8.0,10.0,10.0,8.0,87.0,32.0,$15.00,1064,241
337,585258,Private room,2049843,2012-04-01,,0.14,8.0,9.0,9.0,10.0,9.0,88.0,90.0,$75.00,1019,8
348,593101,Private room,2408429,2012-05-18,100%,4.36,10.0,9.0,10.0,10.0,10.0,97.0,65.0,$25.00,1018 JM,244
351,600983,Private room,2974208,2012-07-18,100%,2.35,10.0,10.0,10.0,10.0,10.0,99.0,90.0,$15.00,1018,178
354,606871,Private room,3007402,2012-07-21,67%,3.05,9.0,9.0,10.0,10.0,10.0,95.0,150.0,$35.00,1051,215
355,608432,Private room,3015785,2012-07-22,100%,6.08,9.0,10.0,10.0,10.0,9.0,94.0,80.0,$15.00,1013,467
359,613088,Private room,3040748,2012-07-24,100%,4.05,10.0,10.0,10.0,10.0,10.0,97.0,78.0,,1027,310
360,613110,Private room,3040855,2012-07-24,100%,2.93,8.0,9.0,9.0,9.0,9.0,84.0,69.0,,1086,224
361,619662,Private room,749611,2011-06-27,,2.57,9.0,10.0,10.0,10.0,9.0,97.0,69.0,$35.00,1051,195
369,627188,Private room,3015785,2012-07-22,100%,3.35,9.0,10.0,10.0,10.0,10.0,96.0,90.0,$20.00,1013,258
373,630636,Private room,2243649,2012-04-28,100%,0.57,9.0,10.0,10.0,10.0,10.0,99.0,135.0,$100.00,1015,43
390,645568,Private room,3233074,2012-08-12,100%,1.19,9.0,10.0,9.0,9.0,10.0,93.0,175.0,$0.00,1011,57
393,647264,Private room,1909580,2012-03-12,,2.69,10.0,10.0,10.0,10.0,10.0,99.0,129.0,$40.00,1072 BD,168
397,652767,Private room,3281176,2012-08-16,,0.24,9.0,9.0,10.0,10.0,10.0,98.0,40.0,,1094,18
401,654931,Private room,3278419,2012-08-16,100%,7.13,9.0,10.0,10.0,10.0,10.0,96.0,85.0,$20.00,1012 HL,541
402,655216,Private room,3278419,2012-08-16,100%,5.82,9.0,10.0,10.0,10.0,10.0,97.0,85.0,$20.00,1012,438
404,658002,Private room,3317069,2012-08-20,98%,2.39,8.0,10.0,9.0,9.0,8.0,86.0,145.0,$25.00,1054,161
405,658049,Private room,3317069,2012-08-20,98%,1.23,9.0,10.0,9.0,9.0,9.0,86.0,150.0,$25.00,1054,84
406,658063,Private room,3317069,2012-08-20,98%,1.5,8.0,10.0,9.0,9.0,8.0,87.0,150.0,$25.00,1054,108
431,682748,Private room,3478967,2012-09-05,100%,0.14,8.0,8.0,9.0,9.0,9.0,85.0,250.0,,1057,11
432,683431,Private room,2309485,2012-05-07,100%,5.51,9.0,9.0,10.0,10.0,9.0,91.0,80.0,$15.00,1078,292
433,685990,Private room,3498674,2012-09-07,,2.92,9.0,9.0,10.0,10.0,10.0,95.0,65.0,$25.00,1063,221
437,690757,Private room,3529778,2012-09-10,100%,4.26,9.0,10.0,9.0,9.0,9.0,90.0,175.0,$25.00,1012,320
441,693475,Private room,3547465,2012-09-12,100%,0.91,9.0,9.0,10.0,10.0,10.0,97.0,337.0,$0.00,1019,66
443,694850,Private room,3556421,2012-09-13,100%,7.65,9.0,10.0,10.0,10.0,10.0,96.0,85.0,$25.00,1012,576
456,703451,Private room,3612534,2012-09-19,100%,2.16,9.0,10.0,10.0,10.0,10.0,94.0,98.0,$0.00,1015,150
460,708528,Private room,3644216,2012-09-22,100%,3.58,9.0,10.0,10.0,10.0,10.0,97.0,110.0,,1073,126
471,721291,Private room,3723928,2012-10-01,82%,1.92,9.0,9.0,10.0,10.0,9.0,94.0,69.0,$35.00,1051,143
475,725923,Private room,3755342,2012-10-04,100%,5.0,10.0,10.0,10.0,10.0,10.0,97.0,82.0,$15.00,1052 NH,373
481,729317,Private room,3788673,2012-10-07,100%,2.86,9.0,10.0,10.0,10.0,9.0,94.0,125.0,$35.00,1017,58
482,729395,Private room,3788898,2012-10-07,100%,2.76,10.0,10.0,10.0,10.0,10.0,97.0,125.0,$30.00,1012,126
483,730916,Private room,3267693,2012-08-15,91%,3.82,9.0,9.0,10.0,10.0,10.0,95.0,70.0,$25.00,1052,281
490,737954,Private room,2646706,2012-06-15,,3.23,8.0,10.0,9.0,9.0,9.0,85.0,70.0,,1054,221
492,740616,Private room,3846003,2012-10-12,100%,0.78,9.0,9.0,10.0,10.0,10.0,95.0,99.0,,1018,58
503,744659,Private room,3518386,2012-09-09,100%,1.27,10.0,10.0,10.0,10.0,10.0,98.0,109.0,,1091,94
506,747847,Private room,3548522,2012-09-12,,0.67,9.0,9.0,10.0,10.0,10.0,94.0,60.0,$5.00,1058 VD,40
514,755431,Private room,3975477,2012-10-25,100%,2.04,10.0,10.0,10.0,10.0,10.0,98.0,140.0,$25.00,1053,130
526,761411,Private room,4013546,2012-10-30,100%,2.86,9.0,9.0,10.0,10.0,10.0,94.0,56.0,$0.00,1024 BB,212
528,768737,Private room,3877342,2012-10-15,100%,3.37,9.0,9.0,10.0,10.0,10.0,96.0,109.0,$35.00,1051 MA,227
531,771343,Private room,2313061,2012-05-07,100%,5.52,10.0,10.0,10.0,10.0,10.0,98.0,119.0,$10.00,1015 SH,264
532,771758,Private room,195859,2010-08-09,,1.96,9.0,8.0,10.0,10.0,10.0,88.0,40.0,$50.00,1062 GR,134
534,775655,Private room,4091515,2012-11-08,100%,4.75,9.0,10.0,10.0,9.0,9.0,92.0,98.0,$15.00,1011 JZ,350
537,779175,Private room,3357851,2012-08-24,100%,0.78,9.0,8.0,9.0,9.0,9.0,90.0,80.0,$0.00,1013,56
557,794322,Private room,4184910,2012-11-18,80%,3.6,9.0,10.0,9.0,10.0,9.0,95.0,150.0,$40.00,1011 JH,254
558,794927,Private room,4188143,2012-11-19,100%,3.77,9.0,9.0,10.0,10.0,10.0,94.0,75.0,$0.00,1094,274
568,802052,Private room,4221960,2012-11-23,100%,6.34,10.0,10.0,10.0,10.0,10.0,98.0,120.0,,1018 VG,465
569,805368,Private room,4239610,2012-11-25,100%,4.73,10.0,10.0,10.0,10.0,10.0,99.0,110.0,,1016,346
574,815781,Private room,4285996,2012-11-30,100%,0.12,10.0,10.0,9.0,10.0,10.0,95.0,95.0,$12.00,1015 ZH,8
580,818079,Private room,4296919,2012-12-01,100%,5.39,9.0,9.0,10.0,10.0,10.0,97.0,125.0,$20.00,1019 AW,389
581,818085,Private room,3788898,2012-10-07,100%,2.41,10.0,10.0,10.0,10.0,10.0,97.0,125.0,$30.00,1012 SG,137
600,837972,Private room,3098651,2012-07-30,100%,2.49,9.0,9.0,10.0,10.0,9.0,92.0,55.0,$20.00,1077,129
607,843898,Private room,4285996,2012-11-30,100%,0.27,9.0,10.0,9.0,10.0,10.0,91.0,95.0,$12.00,1015 ZH,19
608,846281,Private room,4418792,2012-12-16,,3.9,9.0,10.0,9.0,10.0,9.0,91.0,85.0,$20.00,1015,269
617,854060,Private room,4459890,2012-12-21,,0.88,10.0,10.0,10.0,10.0,10.0,99.0,180.0,$0.00,1023 NT,62
621,858666,Private room,4494136,2012-12-26,100%,5.06,10.0,9.0,10.0,10.0,10.0,98.0,140.0,$25.00,1019 SZ,346
622,860193,Private room,7491208,2013-07-15,100%,1.5,9.0,9.0,10.0,9.0,9.0,93.0,200.0,$45.00,1052 LN,102
632,870150,Private room,4585541,2013-01-04,100%,2.5,8.0,9.0,9.0,9.0,9.0,81.0,47.0,$35.00,1058 VS,174
638,874076,Private room,4614541,2013-01-07,100%,1.08,10.0,10.0,10.0,10.0,10.0,99.0,100.0,$40.00,1017 SV,31
639,874315,Private room,4615516,2013-01-07,100%,5.31,9.0,10.0,10.0,10.0,10.0,95.0,110.0,,1017 HA,370
640,874340,Private room,4615590,2013-01-07,100%,4.73,9.0,8.0,10.0,9.0,9.0,91.0,60.0,$25.00,1035 HN,323
643,877702,Private room,4614541,2013-01-07,100%,0.49,10.0,10.0,10.0,10.0,10.0,99.0,150.0,$40.00,1017 SV,33
645,879986,Private room,3332206,2012-08-21,100%,5.54,9.0,9.0,10.0,10.0,10.0,93.0,89.0,,1079,393
647,881558,Private room,4663978,2013-01-11,100%,0.66,10.0,10.0,10.0,10.0,10.0,97.0,120.0,,1017 JS,46
650,884329,Private room,4684314,2013-01-13,,4.8,10.0,9.0,10.0,10.0,10.0,98.0,125.0,,1069 MN,341
659,893203,Private room,1608775,2012-01-15,67%,0.74,9.0,9.0,10.0,10.0,9.0,97.0,65.0,$13.00,1057,49
663,900173,Private room,961670,2011-08-12,10%,0.54,9.0,9.0,10.0,9.0,10.0,95.0,60.0,$0.00,1013 RJ,22
666,906446,Private room,488009,2011-04-06,100%,3.56,9.0,9.0,9.0,9.0,10.0,88.0,59.0,,1082 XE,243
673,920435,Private room,2705990,2012-06-21,0%,0.98,10.0,10.0,10.0,10.0,10.0,97.0,99.0,,1052,68
674,920560,Private room,4947559,2013-02-03,100%,1.62,10.0,10.0,10.0,10.0,10.0,98.0,150.0,,1098 CP,64
684,934060,Private room,5037506,2013-02-10,,1.35,9.0,8.0,10.0,9.0,10.0,95.0,440.0,$100.00,1033 WB,92
692,946142,Private room,5102632,2013-02-16,100%,4.14,9.0,9.0,10.0,10.0,10.0,96.0,85.0,$0.00,1052 GA,286
693,947437,Private room,5134833,2013-02-18,,2.03,10.0,9.0,10.0,10.0,10.0,97.0,75.0,$15.00,1069 DA,130
696,951605,Private room,5163484,2013-02-20,,0.55,9.0,9.0,9.0,10.0,9.0,94.0,70.0,$45.00,1086,33
