,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
15930,21737050,Private room,21725290,2014-09-24,,0.08,,,,,,,11.0,,13351,1
7419,10834879,Private room,46693909,2015-10-16,,0.03,10.0,10.0,10.0,10.0,8.0,80.0,11.0,,12043,1
5710,8149848,Private room,28245842,2015-02-23,100%,0.1,10.0,10.0,10.0,10.0,10.0,100.0,12.0,$10.00,13353,4
1685,2224714,Private room,11353108,2014-01-16,100%,6.62,10.0,9.0,10.0,10.0,10.0,97.0,12.0,$10.00,13357,120
11709,17474140,Private room,14092742,2014-04-09,,0.05,10.0,10.0,10.0,10.0,10.0,100.0,12.0,$10.00,10997,1
16452,22182082,Shared room,162056711,2017-12-10,,0.09,10.0,10.0,10.0,10.0,10.0,100.0,12.0,,10245,1
10242,15363343,Private room,9764235,2013-11-02,,0.16,,,,,,,12.0,,10367,4
17399,23117849,Shared room,18322069,2014-07-18,100%,3.79,9.0,9.0,9.0,9.0,8.0,81.0,12.0,$6.00,10777,34
7525,11088514,Private room,11841571,2014-02-01,,0.3,9.0,9.0,8.0,10.0,9.0,94.0,12.0,$30.00,10557,7
19936,26630737,Shared room,3363166,2012-08-24,0%,0.25,,,,,,,12.0,,13409,1
9710,14443689,Private room,73996689,2016-05-25,,0.18,10.0,10.0,10.0,10.0,10.0,100.0,12.0,,12103,5
9016,13595741,Private room,45543558,2015-10-01,,0.04,2.0,4.0,10.0,10.0,2.0,40.0,12.0,,13347,1
7709,11366265,Private room,50534425,2015-12-04,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,12.0,,10247,1
16197,21955664,Shared room,160281288,2017-11-27,100%,0.9,9.0,9.0,10.0,10.0,8.0,82.0,12.0,$0.00,10365,9
10442,15764629,Shared room,101932877,2016-10-31,,0.08,10.0,8.0,10.0,10.0,8.0,100.0,12.0,,13587,2
12603,18591937,Private room,52147903,2015-12-24,,0.06,10.0,10.0,10.0,10.0,10.0,100.0,12.0,,10317,1
5521,7935792,Private room,41846622,2015-08-18,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,13.0,,12055,1
6599,9569464,Private room,13628202,2014-03-28,,3.26,9.0,9.0,10.0,10.0,9.0,91.0,13.0,$10.00,12055,14
16239,21990501,Private room,156580537,2017-10-28,,0.09,8.0,8.0,10.0,8.0,6.0,60.0,13.0,,13359,1
16332,22074705,Private room,105587747,2016-11-29,,0.23,10.0,10.0,10.0,10.0,10.0,100.0,13.0,,10247,1
15104,20958732,Private room,4416185,2012-12-16,,0.51,9.0,8.0,9.0,9.0,9.0,86.0,13.0,$0.00,13086,7
17781,23497750,Private room,175432970,2018-02-26,,0.24,10.0,10.0,10.0,10.0,9.0,100.0,13.0,,10555,2
6672,9687122,Private room,12141370,2014-02-11,,0.03,8.0,8.0,8.0,6.0,8.0,80.0,13.0,,12051,1
8693,13090845,Shared room,48503030,2015-11-08,,0.6,9.0,9.0,10.0,9.0,8.0,89.0,13.0,,13353,18
18787,24815891,Private room,3995595,2012-10-28,100%,0.97,10.0,10.0,10.0,10.0,10.0,100.0,13.0,$20.00,12559,2
14618,20585317,Private room,72431890,2016-05-17,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,13.0,,13359,1
14850,20759181,Private room,107130180,2016-12-13,100%,0.39,8.0,10.0,9.0,9.0,6.0,80.0,13.0,,13359,5
13619,19688346,Private room,58927480,2016-02-15,100%,0.76,10.0,9.0,10.0,9.0,9.0,95.0,13.0,$10.00,13088,12
14226,20205566,Private room,125134689,2017-04-10,100%,0.79,10.0,8.0,10.0,10.0,10.0,97.0,13.0,$20.00,12357,12
17985,23706642,Private room,177617514,2018-03-10,,0.12,,,,,,,13.0,,13409,1
20410,27227889,Private room,205051811,2018-07-25,100%,2.91,10.0,9.0,10.0,10.0,10.0,96.0,13.0,,12555,10
10134,15153401,Shared room,8250486,2013-08-19,100%,2.35,9.0,9.0,9.0,9.0,9.0,92.0,13.0,$0.00,10179,59
13655,19723034,Private room,139031032,2017-07-07,,0.09,10.0,8.0,10.0,10.0,8.0,100.0,13.0,,12555,1
9524,14200405,Private room,86149098,2016-07-26,,0.04,10.0,10.0,10.0,10.0,10.0,100.0,13.0,,12555,1
8014,11768062,Private room,51795383,2015-12-20,,0.28,10.0,10.0,10.0,10.0,9.0,95.0,13.0,,10999,9
18615,24568083,Private room,103685649,2016-11-14,,0.18,8.0,8.0,10.0,10.0,10.0,100.0,13.0,,10319,1
14202,20191545,Private room,143773893,2017-08-01,,0.26,8.0,8.0,10.0,10.0,4.0,70.0,14.0,,10315,4
16067,21844344,Shared room,109995917,2017-01-05,100%,1.69,8.0,8.0,8.0,9.0,7.0,77.0,14.0,$0.00,13359,16
12597,18586882,Private room,4259960,2012-11-27,,7.64,10.0,10.0,10.0,10.0,10.0,97.0,14.0,,10435,135
16066,21844219,Shared room,109995917,2017-01-05,100%,1.02,7.0,7.0,8.0,7.0,6.0,76.0,14.0,$0.00,13359,11
21071,28061799,Private room,163404075,2017-12-20,100%,3.28,9.0,8.0,10.0,9.0,5.0,83.0,14.0,,10553,7
18252,24008051,Private room,179664901,2018-03-20,,1.49,10.0,7.0,9.0,10.0,9.0,92.0,14.0,,12459,11
17197,22903097,Private room,169450739,2018-01-23,82%,3.3,9.0,9.0,9.0,9.0,10.0,95.0,14.0,$0.00,12103,31
8335,12281381,Private room,49815862,2015-11-24,,5.04,9.0,9.0,10.0,10.0,9.0,92.0,14.0,$15.00,13055,153
17553,23274121,Private room,35193596,2015-06-07,,0.12,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,14129,1
9445,14116778,Private room,85075824,2016-07-21,,0.04,,,,,,,14.0,$11.00,12165,1
19810,26448483,Private room,84221379,2016-07-17,100%,0.32,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,13357,1
17625,23346110,Private room,42344555,2015-08-24,,0.12,10.0,10.0,8.0,10.0,6.0,80.0,14.0,$30.00,12435,1
8102,11891301,Private room,55657247,2016-01-22,100%,1.88,10.0,10.0,10.0,10.0,10.0,97.0,14.0,$15.00,13349,50
6271,9047612,Private room,19888788,2014-08-12,,0.06,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,12059,2
9759,14546569,Private room,90017910,2016-08-15,100%,0.28,10.0,9.0,10.0,10.0,10.0,96.0,14.0,$20.00,10439,5
7708,11365741,Private room,59556818,2016-02-20,,0.06,10.0,9.0,10.0,10.0,10.0,90.0,14.0,,13347,2
7678,11310047,Private room,45754389,2015-10-04,,0.03,8.0,8.0,10.0,10.0,10.0,100.0,14.0,,12099,1
16029,21819946,Shared room,109995917,2017-01-05,100%,2.31,9.0,8.0,8.0,9.0,8.0,84.0,14.0,$0.00,13359,17
17997,23714077,Private room,8754890,2013-09-10,,0.13,,,,,,,14.0,,12043,1
19490,25922110,Private room,25938381,2015-01-11,40%,1.46,10.0,10.0,10.0,10.0,9.0,97.0,14.0,,12043,6
14068,20083665,Private room,77203278,2016-06-12,,0.07,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,12055,1
10703,16154604,Private room,105437531,2016-11-28,,0.47,10.0,10.0,9.0,10.0,10.0,98.0,14.0,,10367,11
17797,23513742,Private room,63317544,2016-03-17,,0.24,8.0,8.0,10.0,10.0,10.0,100.0,14.0,,13355,2
20446,27295377,Shared room,203455753,2018-07-19,100%,10.13,10.0,9.0,10.0,10.0,10.0,95.0,14.0,,13357,26
8878,13382971,Private room,35208528,2015-06-07,,0.08,10.0,8.0,10.0,10.0,10.0,90.0,14.0,,10245,2
15592,21417127,Private room,155205098,2017-10-19,100%,2.7,10.0,10.0,10.0,10.0,9.0,96.0,14.0,$15.00,10967,33
12443,18383431,Private room,8792609,2013-09-12,,0.22,10.0,9.0,10.0,10.0,9.0,100.0,14.0,,12055,4
14500,20468302,Private room,124044901,2017-04-03,,0.2,10.0,8.0,10.0,10.0,10.0,90.0,14.0,,12059,3
12428,18367909,Private room,72268035,2016-05-16,100%,0.23,10.0,8.0,10.0,10.0,10.0,100.0,14.0,$10.00,10317,4
4482,6884248,Private room,999330,2011-08-21,100%,0.63,10.0,9.0,10.0,10.0,10.0,98.0,14.0,$8.00,12103,26
5565,7992227,Private room,12351621,2014-02-18,,0.15,10.0,9.0,10.0,8.0,10.0,90.0,14.0,,10551,6
14580,20547251,Private room,20396767,2014-08-22,,0.07,8.0,8.0,10.0,8.0,10.0,100.0,14.0,$0.00,13359,1
11591,17324076,Private room,116940839,2017-02-18,,0.1,10.0,10.0,10.0,10.0,10.0,100.0,14.0,,10559,2
11545,17263261,Private room,25344663,2014-12-29,0%,0.05,,,,,,,14.0,,12051,1
4673,7166585,Private room,37535540,2015-07-05,,0.45,10.0,9.0,10.0,10.0,9.0,93.0,14.0,,10553,17
9991,14933760,Private room,23669100,2014-11-12,,1.07,9.0,9.0,10.0,10.0,10.0,94.0,15.0,$15.00,14059,28
2672,4028485,Private room,20885834,2014-09-03,,0.06,10.0,10.0,10.0,10.0,8.0,93.0,15.0,,10551,3
16589,22265499,Private room,131673209,2017-05-23,,0.09,,,,,,,15.0,,12207,1
6565,9522543,Shared room,43203827,2015-09-02,88%,0.25,9.0,9.0,9.0,8.0,9.0,88.0,15.0,,10243,9
7458,10932091,Private room,56677332,2016-01-30,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10437,1
10785,16238572,Private room,106145463,2016-12-04,,0.04,8.0,8.0,8.0,10.0,8.0,100.0,15.0,,10997,1
7421,10843226,Private room,56161136,2016-01-26,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10999,1
21783,28993435,Shared room,184038561,2018-04-13,89%,2.0,10.0,10.0,10.0,9.0,8.0,90.0,15.0,$0.00,10178,2
16795,22435764,Private room,149386594,2017-09-06,100%,0.4,10.0,10.0,9.0,10.0,10.0,90.0,15.0,$10.00,10247,4
17334,23074815,Private room,171315686,2018-02-02,100%,1.81,10.0,9.0,9.0,10.0,10.0,94.0,15.0,$10.00,12045,14
10081,15082612,Shared room,95432530,2016-09-16,50%,0.42,10.0,10.0,10.0,10.0,10.0,96.0,15.0,,13357,11
7950,11670888,Private room,61963951,2016-03-07,,0.19,9.0,8.0,9.0,9.0,9.0,87.0,15.0,,13357,6
5057,7552367,Private room,39583135,2015-07-26,,0.05,9.0,8.0,9.0,10.0,10.0,80.0,15.0,,12043,2
18989,25092952,Private room,100893413,2016-10-23,100%,0.97,10.0,9.0,10.0,10.0,10.0,100.0,15.0,$10.00,13086,5
21720,28905188,Private room,56532225,2016-01-28,,0.79,,,,,,,15.0,,12059,1
7846,11560790,Private room,5431061,2013-03-12,,0.03,10.0,8.0,10.0,10.0,10.0,80.0,15.0,$15.00,12059,1
17779,23496868,Private room,89551529,2016-08-12,,2.28,9.0,8.0,10.0,10.0,9.0,93.0,15.0,$4.00,13055,18
19703,26255497,Private room,155420972,2017-10-20,,0.44,2.0,4.0,2.0,2.0,6.0,20.0,15.0,,14169,2
9777,14581425,Private room,2048299,2012-04-01,,0.08,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,12101,2
12217,18100960,Private room,89487875,2016-08-12,,0.05,8.0,8.0,10.0,10.0,6.0,80.0,15.0,,10551,1
18292,24039534,Private room,163838136,2017-12-23,100%,1.0,10.0,8.0,10.0,10.0,9.0,97.0,15.0,$10.00,13127,7
14919,20815950,Shared room,149280376,2017-09-05,,0.58,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10829,8
21367,28434922,Private room,214653833,2018-09-10,100%,6.0,10.0,9.0,9.0,9.0,10.0,96.0,15.0,$8.00,13585,10
14783,20703651,Private room,87627421,2016-08-03,,0.21,10.0,10.0,10.0,10.0,10.0,90.0,15.0,,12437,3
17212,22923857,Private room,158812300,2017-11-15,,0.33,10.0,9.0,10.0,10.0,10.0,100.0,15.0,$25.00,12103,3
6491,9410492,Private room,42809936,2015-08-29,,0.03,10.0,10.0,10.0,10.0,10.0,80.0,15.0,,10409,1
3996,6241797,Private room,32401760,2015-05-02,,0.02,,,,,,,15.0,,12045,1
17933,23646680,Private room,131278168,2017-05-21,100%,0.26,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10115,2
14506,20474373,Private room,36428210,2015-06-22,,0.07,10.0,8.0,10.0,10.0,6.0,80.0,15.0,,12435,1
15096,20952026,Private room,5266706,2013-02-28,,0.22,9.0,9.0,9.0,9.0,9.0,93.0,15.0,$15.00,12099,3
12758,18769541,Private room,130606116,2017-05-16,,0.06,,,,,,,15.0,,12059,1
10373,15611815,Shared room,100212942,2016-10-18,100%,0.4,10.0,9.0,9.0,9.0,10.0,90.0,15.0,$6.00,13357,10
14043,20065609,Private room,142600191,2017-07-26,,0.07,10.0,8.0,10.0,10.0,10.0,100.0,15.0,,10997,1
16444,22174646,Private room,161984695,2017-12-09,,0.19,10.0,10.0,10.0,9.0,7.0,100.0,15.0,$5.00,10999,2
15356,21196359,Private room,19063652,2014-07-28,,1.89,10.0,9.0,10.0,10.0,9.0,96.0,15.0,$5.00,10318,10
20493,27354482,Private room,141994959,2017-07-23,100%,0.69,10.0,10.0,10.0,10.0,9.0,100.0,15.0,,12053,2
10369,15603598,Shared room,100212942,2016-10-18,100%,0.13,10.0,9.0,10.0,10.0,9.0,93.0,15.0,$6.00,13357,3
6798,9832276,Private room,50637258,2015-12-06,,0.24,9.0,10.0,9.0,9.0,9.0,89.0,15.0,,12045,8
7051,10114694,Private room,51906445,2015-12-21,,0.13,8.0,7.0,7.0,7.0,8.0,80.0,15.0,,10439,4
18040,23763058,Private room,178237556,2018-03-13,,0.26,10.0,9.0,10.0,10.0,10.0,100.0,15.0,,10409,2
21877,29089112,Private room,57218369,2016-02-03,100%,3.0,9.0,9.0,10.0,10.0,10.0,100.0,15.0,,13189,3
10403,15670194,Private room,8378113,2016-10-25,60%,0.04,,,,,,,15.0,,10317,1
15891,21695285,Private room,54869094,2016-01-16,0%,0.25,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,13055,3
18109,23838199,Private room,116970337,2017-02-18,,0.55,10.0,10.0,10.0,9.0,10.0,100.0,15.0,,10439,4
12845,18861030,Private room,37180869,2015-06-30,,0.17,10.0,9.0,10.0,10.0,10.0,100.0,15.0,$0.00,12045,3
10083,15085051,Private room,95460121,2016-09-16,,0.31,9.0,8.0,10.0,9.0,8.0,91.0,15.0,$0.00,13357,8
3648,5557941,Private room,28813910,2015-03-05,,0.05,8.0,8.0,7.0,7.0,10.0,70.0,15.0,,10317,2
18017,23740543,Private room,9484081,2013-10-17,0%,0.43,10.0,10.0,10.0,10.0,10.0,100.0,15.0,,10367,1
12634,18630307,Private room,7495619,2013-07-15,,0.86,10.0,9.0,10.0,10.0,10.0,97.0,15.0,$10.00,12459,15
